Suburb,Longitude,Latitude,Area
Hadfield,144.9502945,-37.71013803,3.877988074
Hallam,145.2686404,-38.00716982,10.5352807
Hampton,145.0091106,-37.93740009,5.509050943
Hampton East,145.0307067,-37.93855158,1.732115787
Hampton Park,145.2686048,-38.03855643,16.9252988
Harkaway,145.3591401,-37.99438495,16.46271993
Hastings,145.1840529,-38.29679517,32.97089316
Hawthorn,145.0317055,-37.82446802,7.278443501
Hawthorn East,145.0499684,-37.8313479,4.767973705
Healesville,145.5487134,-37.62388649,230.8229065
Heath Hill,145.6868271,-38.26395695,55.43523033
Heathcote Junction,145.0420908,-37.38174904,14.15910286
Heatherton,145.0931863,-37.95609837,8.989907855
Heathmont,145.2439414,-37.83068086,5.648294101
Heidelberg,145.0697588,-37.75252137,3.791745152
Heidelberg Heights,145.0528022,-37.74543796,3.225879551
Heidelberg West,145.0435782,-37.73811937,4.072697215
Hesket,144.6557027,-37.35156834,69.80906381
Highett,145.0397814,-37.95040404,4.988566953
Hillside,144.741708,-37.69047142,10.35470898
Hmas Cerberus,145.1982325,-38.38108731,19.627848
Hoddles Creek,145.6047452,-37.86395331,76.63653473
Hopetoun Park,144.5015861,-37.69500792,9.363573713
Hoppers Crossing,144.6952468,-37.86665147,22.92189652
Hughesdale,145.0811666,-37.89950728,2.565678907
Humevale,145.1928073,-37.50227622,57.10250805
Huntingdale,145.1084692,-37.90765023,1.01086416
Hurstbridge,145.1943595,-37.63756021,18.74346785
Ivanhoe,145.0430782,-37.76901265,6.40489379
Ivanhoe East,145.0618332,-37.77338176,2.66876923
Jacana,144.91114,-37.68785582,1.40146249
Junction Village,145.2968597,-38.13632948,3.683191634
Kallista,145.4117002,-37.90120467,12.20044785
Kalorama,145.372108,-37.8193901,4.259838355
Kangaroo Ground,145.2316915,-37.68915635,39.66713949
Kealba,144.8283059,-37.73713376,3.34390768
Keilor,144.8250259,-37.71133462,7.128521063
Keilor Downs,144.8047536,-37.72061845,6.33121463
Keilor East,144.8560985,-37.73837163,12.91609249
Keilor Lodge,144.7997491,-37.69838999,1.088388167
Keilor North,144.7930147,-37.68161742,9.39142668
Keilor Park,144.8508963,-37.71870659,3.90270929
Kensington,144.927044,-37.79435472,2.71955544
Kew,145.0333005,-37.80336402,13.47958712
Kew East,145.0527718,-37.79043115,4.931720341
Keysborough,145.1673378,-38.00538047,27.57586332
Kilmore,144.9274891,-37.30610891,116.4706424
Kilmore East,145.0112212,-37.2782762,69.10291907
Kilsyth,145.3172159,-37.81446087,12.25996102
Kilsyth South,145.3109853,-37.83149559,4.241059962
Kinglake,145.3459562,-37.55270448,56.25019611
Kinglake Central,145.3523478,-37.46980278,109.8867164
Kinglake West,145.2485439,-37.50305436,37.70059006
Kings Park,144.7719496,-37.73371641,3.189425537
Kingsbury,145.033807,-37.71610538,1.60820894
Kingsville,144.8793757,-37.80887184,0.920811937
Knoxfield,145.2496398,-37.88976687,6.997706442
Koo Wee Rup,145.4732544,-38.18682373,98.68452025
Kooyong,145.035788,-37.84138216,0.63311717
Korobeit,144.3314666,-37.5156278,521.3348027
Kurunjang,144.5904612,-37.66414422,9.643902572
Lalor,145.0039617,-37.66296949,15.26126191
Lancefield,144.702143,-37.25281514,203.2173633
Langwarrin,145.1974007,-38.15454015,36.64257224
Langwarrin South,145.1910016,-38.18903518,11.17292721
Launching Place,145.5699449,-37.77517113,48.58449568
Laverton,144.7735408,-37.85704829,2.244215678
Laverton North,144.787153,-37.83002294,19.56038679
Lilydale,145.3678294,-37.75562323,36.84057405
Long Forest,144.5069601,-37.65579365,13.74944418
Lower Plenty,145.1162813,-37.73876586,8.613905542
Lynbrook,145.2561533,-38.05586176,5.181467881
Lyndhurst,145.2493973,-38.06952181,4.170525545
Lysterfield,145.2908312,-37.92700265,23.36014852
Lysterfield South,145.2669745,-37.95250125,5.797266908
Macclesfield,145.4889028,-37.87852915,36.51230585
Macedon,144.5559274,-37.42852587,49.14451399
Macleod,145.0698726,-37.72046648,6.234553085
Maddingley,144.4271525,-37.69422999,39.47493889
Maidstone,144.8741519,-37.78192436,3.998590209
Main Ridge,144.9666191,-38.40029252,36.66650707
Malvern,145.0350548,-37.85762708,3.486931243
Malvern East,145.0657677,-37.87682395,9.580519017
Maribyrnong,144.8877529,-37.77270532,6.919101973
Marysville,145.7472699,-37.51198995,2.625401608
Mccrae,144.9337677,-38.36002189,7.097224436
Mckinnon,145.0382061,-37.91065932,1.945876006
Mcmahons Creek,145.976096,-37.65128675,1079.306147
Meadow Heights,144.9185206,-37.65116794,5.847639443
Melbourne,144.9722725,-37.822624,7.906361857
Melbourne Airport,144.8365357,-37.6764387,38.36171801
