,Suburb,Longitude,Latitude,Closest Shopping Mall,Distance to Shopping Mall,Closest Museum,Distance to Museum,Closest Zoo,Distance to Zoo
164,east melbourne,144.9819005,-37.81285604,Collins Place,0.8371504594168855,National Sports Museum,0.6949489891300396,,
165,east warburton,145.7940488,-37.76400141,,,,,,
166,eden park,145.07168159999998,-37.4976859,,,,,,
167,edithvale,145.1148991,-38.03756035,Chelsea Beach Arcade,1.7519476641842846,Australian National Aviation Museum,7.116063111603768,,
168,elsternwick,145.0070035,-37.88583997,Elwood Village,1.675739914451593,National Herbarium,6.664812783445347,,
169,eltham,145.15935890000003,-37.71771316,Eltham village,0.9611192260717084,,,,
170,eltham north,145.1424324,-37.69773854,St. Helena Market Place,1.5098803942811532,,,,
171,elwood,144.9855043,-37.88095098,Elwood Village,0.5609760641179813,National Herbarium,5.633870766100803,,
172,emerald,145.4364724,-37.94606076,,,,,,
173,endeavour hills,145.2560668,-37.96977772,Endeavour Hills Shopping Centre,0.8724363641227978,,,Chesterfield Farm,8.350185848004676
174,epping,145.0264519,-37.63907386,Greenbrook Shopping Centre,1.4674071627519136,,,,
175,essendon,144.9109678,-37.74983074,North Essendon Village,0.4942760628448859,Victorian Archives Centre,5.868909267670945,Melbourne Zoo,5.31688703289523
176,essendon fields,144.9004307,-37.72690516,Essendon Fields,0.40487951283218077,,,Melbourne Zoo,7.874976878447565
177,essendon north,144.90116830000002,-37.73839573,Niddrie Central,0.748387053210983,Victorian Archives Centre,7.397361133504573,Melbourne Zoo,6.8362350378462455
178,essendon west,144.8851548,-37.75403988,Niddrie Central,1.9527496165486804,Victorian Archives Centre,6.900849395123584,Melbourne Zoo,6.836644562399543
179,eumemmerring,145.2482726,-37.99779901,Autumn Place,0.893200919023974,,,,
180,eynesbury,144.53094099999998,-37.75508942,Woodgrove Shopping Centre,8.16950337494886,,,,
181,fairfield,145.0158219,-37.78449129,Fairfield Village,0.7769857985789445,Melbourne Museum,4.421437699646958,Melbourne Zoo,5.57061557119957
182,fawkner,144.96960090000002,-37.7051877,Campbellfield Plaza,2.0466330767773635,,,Melbourne Zoo,8.932072641488181
183,ferntree gully,145.2804945,-37.88427327,Mountain Gate Shopping Centre,0.5146438451046423,,,Chesterfield Farm,6.4575932858262295
184,ferny creek,145.3350881,-37.875214299999996,Ferntree Plaza,3.1312884880831313,,,,
185,fingal,144.8499448,-38.41400162,Rosebud Plaza,6.929431388358003,,,,
186,fitzroy,144.97913269999998,-37.80100966,The Hive,0.582226390139141,Melbourne Museum,0.7102011462317116,,
187,fitzroy north,144.9843175,-37.7840578,The Hive,1.5293205389918645,Melbourne Museum,2.4260196086598285,Melbourne Zoo,2.7959074516790334
188,flemington,144.9193935,-37.78673154,Showgrounds Village,0.6330585129193641,Melbourne Mint,4.315761547972234,Melbourne Zoo,2.9338930717175926
189,flinders,144.97827709999999,-38.45837683,,,,,,
190,footscray,144.8973521,-37.7981502,Footscray Plaza,0.31327112015570346,Fox Classic Car Collection,5.184462309544645,Melbourne Zoo,5.094604237283943
191,forest hill,145.1710457,-37.83987942,Forest Hill Chase,0.7184033279042632,,,Chesterfield Farm,7.892928871539768
192,frankston,145.14567399999999,-38.14813777,Beach St Shops,0.09197967615684553,,,,
193,frankston north,145.163835,-38.123921100000004,Carrum Downs Regional Shopping Centre,3.02019622311269,,,,
194,frankston south,145.12945249999999,-38.17642154,Beach St Shops,3.459211919811261,,,,
195,gardenvale,145.00906,-37.89810599,Dendy Plaza,2.1733379415295775,National Herbarium,7.996409814330567,,
196,gembrook,145.63359509999998,-37.9452765,,,,,,
197,gisborne,144.5689648,-37.51122597,The Village Gisborne,3.26307072069716,,,,
198,gisborne south,144.6242544,-37.54876158,The Village Gisborne,7.561521864777259,,,,
199,gladstone park,144.8945003,-37.68991136,Gladstone Park Shopping Centre,0.8837064876963258,,,,
200,gladysdale,145.6424635,-37.8390244,Yarra Junction Shopping Centre,6.8855357605134255,,,,
201,glen huntly,145.04134019999998,-37.89237316,Carnegie Central Shopping Centre,1.7349196014839592,National Herbarium,8.8755645663873,,
202,glen iris,145.06459919999998,-37.85579314,Stockland Tooronga,1.9777916538367313,National Sports Museum,8.166570972050335,,
203,glen waverley,145.1681804,-37.88161401,Century City Walk,0.2971898157618949,,,Chesterfield Farm,4.494361702461921
204,glenroy,144.927355,-37.70284754,Olsen Place Shopping Centre,1.46015920127403,,,Melbourne Zoo,9.333706929019597
205,goldie,144.82162759999997,-37.30805083,,,,,,
206,gowanbrae,144.8974111,-37.70297493,Westfield Airport West,1.610223949574081,,,,
207,greendale,144.29625719999999,-37.56401933,,,,,,
208,greensborough,145.10733000000002,-37.69880969,Greensborough Plaza,0.6452677762234796,,,,
209,greenvale,144.87326159999998,-37.64632419,Greenvale Shopping Centre,1.0636793345431363,,,,
210,gruyere,145.4654998,-37.73011495,Wandin North,4.983454160231179,,,Healesville Sanctuary,7.894678082070205
211,guys hill,145.39060769999998,-38.01425974,Berwick Marketplace,4.18542302405169,,,,
212,hadfield,144.9502945,-37.71013803,Sussex St Shops,1.3133247698227606,,,Melbourne Zoo,8.258267302452195
213,hallam,145.2686404,-38.00716982,Spring Square Shopping Centre,0.3587633214571956,,,,
214,hampton,145.00911059999999,-37.93740009,Hampton Village,0.5873883024230847,Australian National Aviation Museum,8.458970607672027,,
215,hampton east,145.03070669999997,-37.93855158,Highett Road Shops,1.616191407367271,Australian National Aviation Museum,6.811856021549225,,
216,hampton park,145.26860480000002,-38.03855643,Hampton Park Shopping Centre,0.6736206504508526,,,,
217,harkaway,145.3591401,-37.99438495,Parkhill Plaza,3.8725646021407676,,,,
218,hastings,145.1840529,-38.29679517,Centro Somerville,8.118564818669515,,,,
219,hawthorn,145.0317055,-37.82446802,Glenferrie Centre,0.5863623383132689,National Sports Museum,4.2115671904133665,,
220,hawthorn east,145.0499684,-37.8313479,Camberwell Place,0.6543363528073041,National Sports Museum,5.937722246921698,,
221,healesville,145.5487134,-37.62388649,Healesville Walk Shopping Centre,4.209485104598557,,,Healesville Sanctuary,6.633430176419154
222,heath hill,145.6868271,-38.26395695,,,,,,
223,heathcote junction,145.0420908,-37.38174904,Wellington Square Shopping Centre,6.5290343865869405,,,,
224,heatherton,145.0931863,-37.95609837,Direct Factory Outlets (DFO),1.6084771597126775,Australian National Aviation Museum,2.216458064095893,,
225,heathmont,145.2439414,-37.83068086,Heathmont Village,0.3017474550198267,,,Chesterfield Farm,8.577970237513483
226,heidelberg,145.06975880000002,-37.75252137,Warringal Shopping Centre,0.3849025006955223,,,,
227,heidelberg heights,145.0528022,-37.74543796,The Mall Shopping Centre,1.0394251792286051,,,,
228,heidelberg west,145.04357819999998,-37.73811937,Northland Shopping Centre,1.2351603507172664,,,Melbourne Zoo,9.529651767035718
229,hesket,144.65570269999998,-37.35156834,,,,,,
230,highett,145.0397814,-37.95040404,Highett Road Shops,0.36844365764799203,Australian National Aviation Museum,5.4048947460159065,,
231,hillside,144.74170800000002,-37.69047142,Taylors Hill Village,2.2747595817167436,,,,
232,hmas cerberus,145.1982325,-38.38108731,,,,,,
233,hoddles creek,145.60474519999997,-37.86395331,Yarra Junction Shopping Centre,9.168143088297768,,,,
234,hopetoun park,144.5015861,-37.69500792,Woodgrove Shopping Centre,5.610642329156506,,,,
235,hoppers crossing,144.6952468,-37.86665147,Hogans Corner Shopping Centre,0.8991126750111524,,,Werribee Open Range Zoo,6.659343672079525
236,hughesdale,145.0811666,-37.89950728,Oakleigh Central,0.8243572564243768,Australian National Aviation Museum,8.549483374630757,,
237,humevale,145.1928073,-37.50227622,,,,,,
238,huntingdale,145.10846919999997,-37.90765023,Oakleigh Central,1.7616443733877183,Australian National Aviation Museum,7.727473256246263,Chesterfield Farm,9.04577445702294
239,hurstbridge,145.1943595,-37.63756021,Diamond Creek Shopping Station,5.0776133135641714,,,,
240,ivanhoe,145.0430782,-37.76901265,Ivanhoe Plaza,0.1940106031605319,Melbourne Museum,7.360448904470323,,
241,ivanhoe east,145.0618332,-37.77338176,Ivanhoe Library,1.6796303995015758,National Sports Museum,8.479660994742655,,
242,jacana,144.91114,-37.68785582,Broadmeadows Shopping Centre,1.170570732972348,,,,
243,junction village,145.29685969999997,-38.13632948,Shopping on Clyde,2.7965881741061756,,,Moonlit Sanctuary,9.28003726150198
244,kallista,145.41170019999998,-37.90120467,Ferntree Plaza,9.107968273660497,,,,
245,kalorama,145.372108,-37.8193901,Churinga shopping centre,5.651632212091446,,,,
246,kangaroo ground,145.2316915,-37.68915635,Diamond Creek Shopping Station,6.590782058916844,,,,
247,kealba,144.8283059,-37.73713376,Keilor Shopping Centre,2.167531096055322,,,,
